iteration,duration,jtsd,mean_speed,reward,time_loss,vssd,waiting_time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,59.4,26.626978799706134,7.78508480374847,7.070355346865422,30.561799999999995,2.7239014528137293,3.934
1,64.65789473684211,33.25777082524058,7.434878751327577,6.487451385558591,35.852429149797565,2.8461900637409103,4.265182186234818
2,53.20039682539682,17.866500083658103,8.14689877050063,7.573805719366836,24.40353174603175,2.3428471572536105,3.9642857142857144
3,52.98347107438016,17.35482092789338,8.117108799616608,7.539822527802705,24.164958677685952,2.1972642266247817,4.012396694214876
4,48.95740365111562,14.40588857770785,8.62652452392569,8.008827065724716,20.157910750507096,2.101099411286055,2.391480730223124
5,47.41142857142857,12.916370670297328,8.825875952813147,8.348201830937624,18.62022857142857,2.0398965539823344,2.3771428571428572
6,53.812375249500995,22.626550884680416,8.258678372534254,7.599831834278929,25.08818363273453,2.4636810605718718,3.624750499001996
7,52.746534653465346,22.126797356569707,8.390131737593567,7.770202452959793,23.933782178217825,2.3628754662575346,3.7504950495049503
8,56.94003868471954,22.48658061886847,7.773605462443657,7.176980761751232,28.156266924564797,2.353984604990802,4.402321083172147
9,57.48828125,21.69794100648489,7.741190875734275,6.923777396156162,28.682109375,2.489046677644579,3.548828125
10,49.36631578947368,14.708984798245387,8.550592810388496,8.09619458743893,20.526147368421057,2.0298091124297803,2.9557894736842107
11,45.863731656184484,11.311312546538348,9.038703770885872,8.622236437377463,17.054863731656184,1.9404627829244552,2.5828092243186584
12,53.80040322580645,22.2869501053576,8.232916318655592,7.665081718212782,25.01913306451613,2.40589628120228,2.8266129032258065
13,46.96544715447155,11.499594602400776,8.82111167719506,8.352503970358935,18.128821138211386,1.8529009497010271,1.8760162601626016
14,50.70264765784114,16.476149926833532,8.457852260455919,7.802528509570445,21.90266802443992,2.2156420567484583,2.804480651731161
15,58.81764705882353,21.460955937650716,7.516236148659532,6.886070152853228,30.00501960784314,2.410602190780237,5.137254901960785
16,51.70485436893204,16.894023638184287,8.279024561156719,7.783909619742288,22.89483495145631,2.149647370506738,3.0776699029126213
17,55.75,18.491006968515194,7.752180536973095,7.1960294041413935,26.935443548387095,2.2022342288374563,3.971774193548387
18,46.15513626834382,11.459757308078006,8.983769507215683,8.522945337652146,17.406582809224318,1.9410700200604085,2.5324947589098534
19,50.721442885771545,15.447777470555566,8.342769543337777,7.874429254489674,21.898997995991984,2.0122233987670857,3.1102204408817635
